horizon,rolling_negative_share,rolling_mean_delta,rolling_min_delta,rolling_max_delta,comparison
1,0.08050161812297735,0.4271650969162397,-0.22261696319088725,4.832881049228493,Wavelet-LGB vs HAR
5,0.5072933549432739,0.02925958021927326,-0.2394635615877816,0.5374031080957732,Wavelet-LGB vs HAR
10,0.5895249695493301,-0.030099576170977256,-0.4608321204940071,0.35286969575340843,Wavelet-LGB vs HAR
1,0.6678802588996764,-0.06384045757318885,-2.072582256237874,1.4668805601459498,Spillover-LGB vs Wavelet-LGB
5,0.5567260940032415,-0.021110009485175777,-0.8364464760433853,0.6685446107976208,Spillover-LGB vs Wavelet-LGB
10,0.4997969955339017,-0.002661423846211401,-0.11418446440598339,0.14804250635259275,Spillover-LGB vs Wavelet-LGB
