index_id,index_label,horizon,source,scale,value
dji,DJIA,5,Absolute return,Medium,0.343406607028096
dji,DJIA,5,Absolute return,Long,0.49369772507567655
dji,DJIA,5,Absolute return,Approx.,0.04592799686545239
dji,DJIA,5,Implied volatility,Short,0.2988791877102284
dji,DJIA,5,Implied volatility,Medium,0.3484283138584395
dji,DJIA,5,Implied volatility,Long,0.3549020616840963
dji,DJIA,5,Implied volatility,Approx.,0.10756603777441072
dji,DJIA,10,Target variance,Short,0.2829887592255711
dji,DJIA,10,Target variance,Medium,0.3956841130812527
dji,DJIA,10,Target variance,Long,0.5248330137981464
dji,DJIA,10,Target variance,Approx.,0.0630359613689415
dji,DJIA,10,Absolute return,Short,0.24214815497215936
dji,DJIA,10,Absolute return,Medium,0.3136634225304489
dji,DJIA,10,Absolute return,Long,0.4798034847326328
dji,DJIA,10,Absolute return,Approx.,0.014485855098272271
dji,DJIA,10,Implied volatility,Short,0.2828660184885902
dji,DJIA,10,Implied volatility,Medium,0.34187121386115277
dji,DJIA,10,Implied volatility,Long,0.3318402948315249
dji,DJIA,10,Implied volatility,Approx.,0.09416755067915554
