Setting,HAR,LightGBM,Wavelet-LightGBM
Main RS,-8.788548697729462,-8.681230833954904,-8.649420025626357
Expanded Data,-9.594916223782597,-9.56412543431522,-9.570422580994217
Parkinson,-9.301857482323904,-9.309109122610424,-9.314267274367998
