horizon,model,avg_hit_rate,avg_median_lead,avg_false_alarm_per_event,total_events
1,logistic_raw,0.820866102036701,5.0,5.1491648181757075,460
1,naive_threshold,0.6126940915507159,4.0,1.0046136653895275,460
5,logistic_raw,0.596969696969697,5.0,16.55841750841751,134
5,naive_threshold,0.6493265993265993,3.8333333333333335,3.640740740740741,134
10,logistic_raw,0.6018731375053213,5.0,37.330438484461475,81
10,naive_threshold,0.5558961260110685,4.333333333333333,6.462852277564921,81
